ფური,pʰ u ɾ i,	aspirated p
პური,pʼ u ɾ i,	ejected p
თალხი,tʰ ɑ l x i,	aspirated t
ტალახი,tʼ ɑ l ɑ x i,	ejected t
ქუდი,kʰ u d i,	aspirated k and intervocalic voicing
კუდი,kʼ u d i,	ejected k
ცერი,ts ɛ ɾ i,	ts initial
წერო,tsʼ ɛ ɾ ɔ,	ts ejected
ჩიხი,tʃ i x i,	initial ch
ჭიქა,tʃʼ i kʰ ɑ,	ch ejected
ნელა,n ɛ l ɑ,	initial n
მელა,m ɛ l ɑ,	initial m
ლუდი,l u d i,	initial l
რუხი,ɾ u x i,	initial r
ქალი,kʰ ɑ l i,	intervocalic l
ქარი,kʰ ɑ ɾ i,	intervocalic r
ვარდი,v ɑ ɾ d i,	initial v
სარდაფი,s ɑ ɾ d ɑ pʰ i,	initial s and intervocalic d
ზარი,z ɑ ɾ i,	initial z
შარი,ʃ ɑ ɾ i,	initial sh
ჟამი,ʒ ɑ m i,	initial zh
ხარი,x ɑ ɾ i,	initial x
ხუთი,x u tʰ i,	initial x
ღარიბი,ɣ ɑ ɾ i b i,	initial voiced velar fricative
ყალიბი,qʼ ɑ l i b i, ejected q; intervocalic b
ყუთი,qʼ u tʰ i,	ejected q
ყავა,qʼ ɑ v ɑ,	ejected q
ჰავა,h ɑ v ɑ,	initial h
ბურთი,b u ɾ tʰ i,	initial b
დალაქი,d ɑ l ɑ kʰ i,	initial d
გუდა,ɡ u d ɑ,	initial g
ძერა,dz ɛ ɾ ɑ,	originally there was no IPA translation
ჯიქი,dʒ i kʰ i,	originally there was no IPA translation
დუქანი,d u kʰ ɑ n i,	initial d
ყვავილი,qʼ v ɑ v i l i,	ejected q
