chawo,tç a w o,
chayi,tç a j i,
chagkaka,tç a h̃ k a k a,
chalkatu,tç a l k a t ɯ,
gagalu,h̃ a h̃ a l ɯ,
gagapitsa,h̃ a h̃ a p i ts a,
gashrorjeru,h̃ a ʃ ɾ o ɾ ç e ɾ ɯ,
gitwa,h̃ i t w a,
jeru,ç e ɾ ɯ,
jeplewata,ç e p l e w a t a,
jgekanchi,ç h̃ e k a n tç i,
jixirjetlu,ç i tʃ i ɾ ç e t l ɯ,
kagka,k a h̃ k a,
kajireji,k a ç i ɾ e ç i,
kamgalu,k a m h̃ a l ɯ,
kasapra,k a s a p ɾ a,
kgatlu,k h̃ a t l ɯ,
mapyolo,m a p j o l o,
mapichi,m a p i tç i,
pcholiji,p tç o l i ç i,
payo,p a j o,
rajxigi,ɾ a ç tʃ i h̃ i,
koxa,k o tʃ a,
seyni,s e j n i,
tshicho,t ʃ i tç o,
gitaakaluru,h̃ i t a ː k a l ɯ ɾ ɯ,
geneeka,h̃ e n e ː k a,
niikaluru,n i ː k a l ɯ ɾ ɯ,
mapookanuwa,m a p o ː k a n ɯ w a,
gituukaklu,h̃ i t ɯ ː k a k l ɯ,
