ajvalil,a h v a l i l,"a"
bak',b a kʼ,"b"
scotol,s k o t o l,"c"
c'usi,kʼ u s i,"c'"
chitom,tʃ i t o m,"ch"
ch'ich'elil,tʃʼ i tʃʼ e l i l,"ch'"
ve'el,v e ʔ e l,"e"
chikinil,tʃ i k i n i l,"i"
jolol,h o l o l,"j"
kavron,k a v ɾ o n,"k"
k'ak'al,kʼ a kʼ a l,"k'"
lo'bol,l o ʔ b o l,"l"
muk'ta,m u kʼ t a,"m"
na',n a ʔ,"n"
okol,o k o l,"o"
paxak',p a ʃ a kʼ,"p"
p'ej,pʼ e h,"p'"
vinique,v i n i k e,"qu"
loq'uel,l o kʼ e l,"q'u"
karina,k a ɾ i n a,"r"
satil,s a t i l,"s"
totil,t o t i l,"t"
t'ul,tʼ u l,"t'"
tsots,ts o ts,"ts"
ts'iba,tsʼ i b a,"ts'"
tsukut,ts u k u t,"u"
vinik,v i n i k,"v"
xi'el,ʃ i ʔ e l,"x"
yox,j o ʃ,"y"
ni'il,n i ʔ i l,"apostrophe"
