Саат,s̪ a a t̪,
дете,d̪ ɛ t̪ ɛ,
Мајка,m a j k a,
Татко,t̪ a t̪ k ɔ,
планина,p ɫ̪ a n̪ i n̪ a,
планинарите,p ɫ̪ a n̪ i n̪ a r i t̪ ɛ,
бела,b ɛ ɫ̪ a,
Зеле,z̪ ɛ l ɛ,
Зелје,z̪ ɛ l j ɛ,
ѓаволштина,ɟ a v ɔ ɫ̪ ʃ t̪ i n̪ a,
ѕирне,dz̪ i r n̪ ɛ,
јазичар,j a z̪ i tʃ a r,
ќупче,c u p tʃ ɛ,
јужњак,j u ʒ ɲ a k,
џогер,dʒ ɔ ɡ ɛ r,
вампирски,v a m p i r s̪ k i,
гихт,ɡ i x t̪,
дарежливост,d̪ a r ɛ ʒ l i v ɔ s̪ t̪,
луленце,ɫ̪ u l ɛ n̪ ts̪ ɛ,
логорува,ɫ̪ ɔ ɡ ɔ r u v a,
перфидност,p ɛ r f i d̪ n̪ ɔ s̪ t̪,
пермутација,p ɛ r m u t̪ a ts̪ i j a,
биљбиљ,b i l b i l,
биљбили,b i l b i l i,
набљудувачки,n̪ a b l u d̪ u v a tʃ k i,
бељаџија,b ɛ l a dʒ i j a,
аљкавост,a l k a v ɔ s̪ t̪,
вљубеност,v l u b ɛ n̪ ɔ s̪ t̪,
вистинољубивост,v i s̪ t̪ i n̪ ɔ l u b i v ɔ s̪ t̪,
властољубивост,v ɫ̪ a s̪ t̪ ɔ l u b i v ɔ s̪ t̪,
пљампа,p l a m p a,
распљампа,r a s̪ p l a m p a,
сељачи,s̪ ɛ l a tʃ i,
хмељ,x m ɛ l,
ладничок,ɫ̪ a d̪ n̪ i tʃ ɔ k,
смртта,s̪ m r t̪ ː a,
